TransactionID,SBI_AccountID,Date,Type_of_Transaction,Amount,Details
31,1,2022-12-29,Withdrawal,7548.56,Doloremque ducimus minus deleniti.
32,1,2022-02-01,Deposit,7576.42,Temporibus reiciendis cum aperiam iure quis ipsam.
33,1,2018-03-12,Withdrawal,654.29,Ex molestiae in dolores occaecati pariatur asperiores.
34,2,2023-05-17,Transfer,27614.63,Mollitia eum magni minima eos.
35,2,2022-01-01,Transfer,29481.8,Ducimus ex expedita doloribus ipsam.
36,2,2021-10-30,Withdrawal,8890.96,Fugiat molestias consectetur error doloremque cupiditate rem.
37,2,2020-08-27,Transfer,32809.06,Porro cum amet possimus quos.
38,2,2023-06-16,Payment,668.3,Vero soluta totam harum autem aliquam dolorum.
39,2,2020-02-28,Withdrawal,1541.64,Hic voluptatem veritatis provident sint similique explicabo perspiciatis.
40,2,2021-10-10,Withdrawal,9420.24,Consequuntur assumenda asperiores.
41,2,2020-09-12,Transfer,46364.92,Eveniet quaerat quibusdam distinctio quisquam impedit iusto.
42,2,2024-01-15,Payment,3054.59,Perferendis ipsam cumque vel.
43,2,2022-09-19,Transfer,28869.41,Repellendus nulla quod nobis totam autem amet.
44,2,2020-02-20,Withdrawal,675.72,Illum nihil id.
45,2,2024-11-15,Withdrawal,5962.58,Eligendi totam itaque reiciendis.
46,2,2022-04-12,Transfer,20547.08,A unde ex deleniti quos cumque.
47,2,2021-11-11,Transfer,27778.83,Vero soluta libero id.
48,2,2021-03-23,Withdrawal,2244.3,Est voluptatem ex quis iusto dolorum iusto.
49,2,2024-04-27,Deposit,5021.35,Ullam eaque quasi.
50,2,2021-02-24,Transfer,24181.85,Sequi nam tenetur illum molestiae distinctio.
51,2,2023-01-13,Transfer,48175.21,Voluptatibus asperiores dicta voluptatibus.
52,2,2020-01-09,Transfer,22439.78,Voluptate cum magni odit neque.
53,2,2023-04-25,Deposit,7569.98,Eveniet ullam quia.
54,2,2020-04-14,Payment,228.51,Qui voluptas est rerum qui labore.
55,2,2023-05-07,Transfer,21432.1,Quod ut tempore exercitationem atque placeat autem.
56,2,2021-03-14,Deposit,6938.65,Dolore tenetur non nulla.
57,2,2021-08-19,Payment,3551.57,Voluptas maiores rerum a quae explicabo debitis.
58,2,2022-07-05,Payment,3244.73,Consectetur eligendi laudantium hic distinctio laborum.
59,2,2024-03-17,Deposit,1613.98,Nemo eum harum voluptatibus.
60,2,2024-04-21,Transfer,26582.48,Deserunt modi saepe fugit vero commodi.
61,2,2020-05-22,Payment,756.9,Id perferendis aliquam magnam animi assumenda.
62,2,2022-04-11,Payment,494.9,Quia voluptate quisquam earum necessitatibus.
63,2,2019-11-19,Transfer,27221.27,Quaerat tempora odit dignissimos ullam.
64,2,2020-07-14,Withdrawal,1002.22,Labore consectetur eveniet.
65,2,2022-07-03,Deposit,3956.98,Facilis nulla dolorum veritatis eveniet dicta aspernatur.
66,2,2019-06-30,Withdrawal,7291.91,Nam maxime earum perferendis voluptatibus quaerat.
67,2,2024-04-26,Deposit,6458.15,Libero voluptates alias.
68,2,2021-09-29,Transfer,25221.46,Incidunt blanditiis eos ipsum ea eius illum.
69,2,2020-04-07,Withdrawal,4884.72,Sint harum autem dolore.
70,2,2019-11-19,Transfer,29745.62,Temporibus itaque laudantium voluptatum voluptatum asperiores consequuntur.
71,2,2020-03-09,Deposit,8241.99,Maiores quod a.
72,2,2019-07-19,Withdrawal,8531.01,Eius exercitationem reprehenderit.
73,2,2020-08-15,Deposit,5879.75,Cupiditate accusamus sed accusantium architecto.
74,2,2019-09-09,Deposit,7037.7,Assumenda ut atque.
75,2,2023-09-30,Withdrawal,4817.25,Eaque necessitatibus dolore.
76,2,2020-08-15,Withdrawal,3507.41,Minus labore aut est.
77,2,2021-02-18,Withdrawal,1233.58,Nihil assumenda praesentium aliquid vel.
78,2,2020-02-17,Transfer,11761.38,Quia exercitationem eos magnam consectetur voluptatibus aut.
79,2,2021-02-25,Payment,2662.21,Quaerat culpa itaque non quae voluptatum.
80,2,2021-02-10,Deposit,6656.86,Laboriosam expedita nam adipisci veritatis natus.
81,2,2022-10-22,Withdrawal,6290.61,Omnis commodi sunt deleniti fuga labore.
82,2,2021-06-04,Payment,3874.81,Architecto itaque accusantium amet accusamus incidunt dignissimos.
83,2,2022-07-16,Transfer,24857.66,Dolorem repellendus distinctio perferendis totam repudiandae.
84,2,2023-09-29,Deposit,3579.09,Voluptatum at architecto ad temporibus.
85,2,2019-09-17,Payment,4593.42,Voluptate animi non ab modi.
86,2,2024-10-07,Payment,241.67,Quos aperiam exercitationem doloribus iure.
87,2,2022-12-25,Transfer,34320.61,Distinctio repudiandae quis corporis vel quasi fugit.
88,2,2024-08-20,Withdrawal,3217.39,Voluptate ad harum maiores quaerat.
89,2,2021-04-16,Payment,3069.5,Commodi quo natus ratione perferendis illum.
90,2,2020-07-27,Withdrawal,7982.91,Voluptates rem perspiciatis autem.
91,2,2020-04-10,Withdrawal,537.53,Soluta illo dicta ab quia voluptate.
92,2,2021-12-11,Deposit,5772.72,Magni facilis distinctio nobis sequi.
93,2,2020-01-01,Deposit,1623.65,Possimus quo fugit nam illum explicabo velit.
94,2,2023-07-26,Payment,2202.08,Temporibus officia ipsum earum ea autem.
95,2,2024-09-15,Payment,3821.14,Incidunt nostrum eius minus reiciendis saepe.
96,2,2019-09-02,Withdrawal,8298.54,Odit molestiae necessitatibus ab at accusamus iure.
97,2,2021-07-09,Withdrawal,3508.77,Blanditiis occaecati nihil asperiores tenetur asperiores eaque.
98,2,2023-05-10,Transfer,45603.99,Cupiditate tenetur enim assumenda aliquam harum quaerat vel.
99,2,2023-10-06,Payment,3058.74,Labore repellendus et consequatur delectus.
100,2,2020-11-01,Deposit,5781.63,Magnam nisi dolorum enim.
101,2,2020-10-09,Withdrawal,9673.14,Architecto culpa sapiente sequi dicta molestias rerum.
102,2,2021-05-01,Payment,4571.23,Dolorum sed libero deserunt quae corporis.
103,2,2024-10-20,Deposit,5937.57,Amet id optio.
104,2,2019-12-04,Payment,3193.59,Autem repellat asperiores ratione odio placeat tenetur ullam.
105,2,2024-10-31,Withdrawal,7763.7,Corrupti veniam non modi.
106,2,2024-09-23,Transfer,21271.48,Dolorum quas ullam repudiandae laborum consectetur.
107,2,2020-03-26,Withdrawal,9081.94,Praesentium perspiciatis explicabo vitae magni quasi culpa.
108,2,2019-11-22,Withdrawal,2478.55,Illum veniam quia.
109,2,2020-04-13,Withdrawal,3956.6,Maiores architecto quibusdam nam libero facilis.
110,2,2023-04-27,Payment,1456.85,Vero velit nemo amet voluptates perspiciatis quos aspernatur.
111,2,2022-03-26,Withdrawal,3750.34,Amet animi reiciendis totam necessitatibus atque.
112,2,2023-08-28,Transfer,4797.7,Ex assumenda repellendus quia accusamus saepe omnis.
113,2,2024-02-03,Payment,998.56,Ipsum blanditiis dolores itaque rerum rerum.
114,2,2024-07-16,Payment,1876.28,Dolor aspernatur totam maiores totam.
115,2,2022-04-22,Transfer,17078.74,Accusamus ipsum error totam occaecati.
116,2,2019-06-27,Transfer,20908.09,Perspiciatis quae eum ratione in.
117,2,2023-05-05,Deposit,8358.08,Est corporis similique vel assumenda totam.
118,2,2020-02-19,Payment,1049.84,Libero labore vel laboriosam dolore.
119,2,2020-03-10,Withdrawal,1034.22,Sed et nisi.
120,2,2022-05-29,Payment,1407.07,Atque occaecati sit culpa dicta saepe.
121,3,2024-03-02,Deposit,393.57,Soluta tempora hic nostrum amet excepturi maxime.
122,3,2024-08-05,Withdrawal,4829.86,Totam corrupti quod minima.
123,3,2023-11-26,Withdrawal,9481.69,Reprehenderit ratione sit.
124,3,2024-01-04,Deposit,5109.8,Officia quaerat optio animi.
125,3,2024-04-05,Withdrawal,5375.94,Corrupti optio nobis aperiam impedit voluptatibus.
126,3,2024-07-11,Payment,3911.51,Corrupti reprehenderit ullam dolorem nam quas doloribus quis.
127,3,2024-02-23,Deposit,3794.59,Perspiciatis nemo inventore doloribus tempore.
128,3,2023-12-09,Withdrawal,5175.71,Inventore ex doloremque voluptate.
129,3,2024-07-20,Withdrawal,359.61,Cum officiis alias voluptatum tempora quis.
130,3,2024-01-11,Transfer,5155.57,Minus amet voluptate dicta tempore culpa at.
131,3,2024-03-01,Withdrawal,7328.03,Natus sapiente odio.
132,3,2024-07-08,Payment,1428.46,Earum soluta consectetur impedit expedita quae eius.
133,3,2024-07-12,Transfer,19037.45,Vel sint esse illum molestiae.
134,3,2023-11-13,Deposit,6364.47,Ratione odio quas aut at officia.
135,3,2024-09-28,Transfer,21066.24,Quo minus officia ullam.
136,3,2024-07-16,Transfer,30966.81,Omnis quam earum dicta similique eos quas.
137,3,2024-02-04,Transfer,29233.96,Suscipit labore laudantium.
138,3,2024-04-09,Payment,2682.64,Explicabo quisquam ullam suscipit cumque.
139,3,2024-02-19,Transfer,3121.71,Aliquam repellat iure quod odio fuga autem.
140,3,2024-08-23,Withdrawal,7140.93,Omnis facere rem.
141,3,2024-10-09,Payment,712.14,Provident tempora aut.
142,3,2023-12-11,Withdrawal,9118.28,Beatae pariatur iusto quasi ullam saepe sapiente.
143,3,2024-05-06,Deposit,1305.53,Provident doloribus beatae neque cumque.
144,3,2023-11-07,Deposit,838.5,Saepe nihil nam dignissimos.
145,3,2024-04-04,Withdrawal,7538.58,Nisi odio cupiditate nobis.
146,3,2024-08-23,Transfer,3483.59,Incidunt reprehenderit quae labore.
147,3,2024-07-04,Payment,580.93,Nesciunt impedit veniam pariatur quis sed quod.
148,3,2024-11-20,Deposit,1571.74,Ducimus deleniti reprehenderit fugit distinctio.
149,3,2023-12-28,Withdrawal,7016.96,Necessitatibus laborum itaque perferendis quis minus.
150,3,2024-09-02,Transfer,21205.62,Dolore laudantium nulla iste consequuntur consequuntur.
151,3,2024-05-18,Transfer,4962.9,Ex cum maxime.
152,3,2024-10-03,Deposit,2290.75,Quam recusandae modi animi itaque.
153,3,2024-01-26,Payment,547.4,Cumque molestias nisi rem architecto dolor velit.
154,3,2024-11-11,Deposit,986.29,Magnam pariatur sit.
155,3,2024-10-29,Payment,4601.11,Maxime corrupti commodi officiis reprehenderit maxime.
156,3,2024-10-01,Transfer,30738.76,Laudantium blanditiis deleniti ullam magni iste saepe.
157,3,2024-09-02,Withdrawal,7386.44,Enim nihil consectetur officia.
158,3,2024-01-23,Deposit,4057.49,Ad excepturi hic animi enim eum dolores id.
159,3,2024-06-22,Deposit,4338.42,Nemo praesentium nemo reiciendis iure ut fuga.
160,3,2024-10-21,Transfer,4467.53,Aliquam commodi recusandae et corrupti eligendi ipsam sit.
161,3,2024-06-12,Deposit,3599.32,Soluta ipsa reprehenderit non reiciendis maxime reiciendis.
162,3,2024-01-31,Deposit,869.87,Nulla sapiente quisquam.
163,3,2023-11-16,Payment,1289.1,Excepturi voluptates debitis unde.
164,3,2024-08-12,Transfer,3731.17,Distinctio cumque rerum cumque.
165,3,2024-01-01,Withdrawal,7006.89,Perspiciatis ex occaecati asperiores officiis odio maiores.
166,3,2024-11-03,Withdrawal,7358.16,Libero velit quaerat adipisci autem.
167,3,2024-03-05,Withdrawal,6816.17,Optio esse molestias animi impedit natus.
168,3,2024-03-08,Transfer,1906.79,Cupiditate ex amet voluptatum.
169,3,2024-10-22,Payment,3450.43,Dicta rem debitis eaque dolore.
170,3,2024-07-18,Withdrawal,6867.6,Nemo tenetur eius beatae fuga veniam deserunt.
171,3,2024-06-23,Withdrawal,4455.88,Explicabo minus assumenda porro temporibus.
172,3,2024-03-04,Withdrawal,897.66,Laborum eaque sequi alias omnis.
173,3,2024-05-13,Withdrawal,7312.99,Distinctio doloremque corporis aperiam fugiat molestiae.
174,3,2024-07-31,Deposit,3816.65,Eaque modi molestias quaerat.
175,3,2023-11-24,Payment,2802.98,Voluptatem expedita amet fuga laborum delectus.
176,3,2024-10-29,Withdrawal,5483.89,Aliquid odio occaecati repudiandae facere sed distinctio.
177,3,2024-11-16,Transfer,1626.5,Nemo dolorum molestias.
178,3,2024-04-06,Withdrawal,1175.15,Dicta magni quae.
179,3,2024-03-15,Transfer,26177.15,Praesentium nulla impedit hic.
180,3,2023-12-29,Deposit,8811.58,Soluta dolorem aliquam.
181,3,2024-04-22,Deposit,7374.87,Cumque provident veniam voluptates.
182,3,2024-08-14,Withdrawal,8674.48,Numquam distinctio iure nesciunt est ipsa ratione enim.
183,3,2024-05-17,Withdrawal,6087.48,Animi ex aut in ducimus officiis.
184,4,2024-10-09,Withdrawal,7793.46,Error voluptate ad odio omnis necessitatibus incidunt.
185,4,2023-10-08,Transfer,28072.1,Incidunt blanditiis vel quidem perspiciatis illum.
186,4,2024-05-02,Withdrawal,5303.81,Dolorum quia veritatis repudiandae.
187,4,2024-11-17,Withdrawal,137.55,Fuga blanditiis numquam a cum quidem.
188,4,2024-05-06,Withdrawal,2031.49,Corrupti error sed nostrum.
189,4,2024-08-25,Payment,4260.28,Laborum libero explicabo neque iure.
190,4,2023-12-20,Withdrawal,9895.74,Aliquid tempore quos voluptatem dolorum odio.
191,4,2023-11-25,Withdrawal,1350.52,Esse placeat id ea aspernatur corrupti laudantium blanditiis.
192,4,2023-09-28,Payment,1624.8,Eos sed dignissimos ea tempore quod quibusdam architecto.
193,4,2024-03-12,Transfer,9440.02,Odio magnam iste nobis voluptatibus.
194,4,2024-05-15,Payment,1263.47,Accusamus voluptate voluptatum inventore.
195,4,2024-04-12,Withdrawal,1553.02,Repellendus commodi temporibus nulla.
196,4,2024-08-08,Withdrawal,3341.34,Blanditiis excepturi adipisci quo.
197,4,2023-11-20,Payment,3723.63,Provident nesciunt molestiae vero.
198,4,2024-01-30,Deposit,1036.88,Vitae deserunt provident officiis.
199,4,2024-05-02,Deposit,8914.47,Fuga ratione sapiente blanditiis sed.
200,4,2024-10-14,Withdrawal,8434.24,Ipsam nihil itaque saepe nobis atque incidunt.
201,4,2024-08-11,Deposit,9744.22,Dolorem tenetur ipsam consequuntur.
202,4,2024-03-17,Payment,808.05,Quis consequuntur occaecati architecto ipsam.
203,4,2023-09-17,Deposit,4639.56,Quod dolores nulla debitis dicta.
204,4,2024-04-08,Payment,457.13,Neque illum odio fugiat soluta.
205,4,2024-08-07,Payment,2578.28,Voluptates ad iure veritatis totam.
206,4,2024-04-23,Transfer,8040.26,Nihil fuga animi fugiat vero maiores.
207,4,2023-10-07,Withdrawal,7292.05,Fugit culpa facere aut.
208,4,2023-12-16,Payment,942.09,Fugit omnis similique perspiciatis quis earum.
209,4,2024-08-11,Deposit,9275.21,Error eaque consequuntur magni sed voluptatibus harum.
210,4,2024-07-21,Payment,4371.13,Nihil distinctio consequuntur culpa exercitationem tempore laborum.
211,4,2024-06-27,Withdrawal,3804.53,Veritatis corporis adipisci iusto aspernatur non hic.
212,4,2024-06-08,Withdrawal,8084.23,Reiciendis nulla ipsum a consequuntur aut occaecati.
213,4,2024-10-14,Withdrawal,2995.96,Repellendus eos modi ea eligendi facere.
214,4,2024-05-10,Withdrawal,9682.68,Dicta delectus quas unde exercitationem harum.
215,4,2024-10-06,Payment,4305.51,Illo ex natus asperiores natus ipsa eligendi voluptatibus.
216,4,2024-03-04,Transfer,48085.21,Nemo ratione veniam nulla.
217,4,2023-12-22,Payment,3200.03,Iure tempora ratione reiciendis rerum distinctio voluptatum.
218,4,2024-04-25,Payment,3119.12,Sapiente ipsam dolor facilis.
219,4,2024-06-10,Transfer,47752.14,Facere fuga saepe ex asperiores laborum.
220,4,2024-01-03,Withdrawal,5840.91,Aperiam distinctio ad unde consequatur quisquam.
221,4,2024-10-25,Withdrawal,5923.63,Possimus ea ut nemo minima beatae voluptas.
222,4,2023-10-02,Payment,3160.68,Aliquid quod veritatis nam.
223,4,2024-03-18,Transfer,21804.82,Dolorem aliquid quod ex.
224,4,2024-06-05,Deposit,5607.89,Itaque rerum optio fuga.
225,4,2024-04-19,Withdrawal,8993.78,Omnis consequatur vero provident ducimus.
226,4,2024-09-26,Withdrawal,5892.2,Esse rerum aspernatur saepe quam quas.
227,4,2024-03-03,Deposit,2056.95,Culpa autem amet laboriosam.
228,4,2024-08-22,Deposit,5890.76,Totam ut et iure atque illum.
229,4,2024-07-14,Withdrawal,7223.65,Quo dolores corporis dolor numquam.
230,4,2024-05-12,Deposit,1863.31,Illum amet quae laboriosam tenetur.
231,4,2024-07-12,Transfer,36390.52,Non necessitatibus cupiditate quasi.
232,5,2022-01-04,Transfer,46247.97,Officia dicta saepe.
233,5,2022-06-27,Withdrawal,3103.12,Qui harum consequatur natus.
234,5,2024-09-13,Withdrawal,2902.17,Quod itaque quidem dolorum.
235,5,2022-05-21,Payment,2685.62,Excepturi deleniti aspernatur aperiam sequi.
236,5,2021-05-25,Deposit,2551.44,A voluptates nesciunt quos nostrum reiciendis atque.
237,5,2023-08-29,Withdrawal,4130.78,Expedita sit voluptatum sequi cum.
238,5,2024-07-07,Transfer,34631.73,Error expedita eius alias consequatur iusto repellendus.
239,5,2021-02-16,Payment,2768.03,Maiores enim tempora tempora fugit.
240,5,2020-12-17,Withdrawal,1942.85,Unde omnis a magni soluta asperiores.
241,5,2020-12-27,Payment,4245.26,Consectetur tempora corporis ducimus amet neque accusantium.
242,5,2021-04-02,Withdrawal,9104.23,Error explicabo hic cupiditate.
243,5,2022-02-24,Withdrawal,2177.9,Error necessitatibus distinctio at.
244,5,2022-04-04,Transfer,10654.05,Voluptas voluptatem quia rem.
245,5,2022-11-12,Transfer,16283.69,Rerum voluptas possimus cupiditate exercitationem vel.
246,5,2023-04-14,Transfer,4944.35,Perspiciatis a quas voluptatum.
247,5,2023-09-17,Deposit,4698.84,Non ex dolore occaecati.
248,5,2021-01-29,Transfer,35757.53,Illum debitis pariatur ab sapiente saepe porro.
249,5,2020-10-11,Payment,2115.53,Praesentium odit voluptas quo modi quaerat reiciendis odio.
250,5,2023-12-26,Transfer,39693.1,Tempore rerum maiores.
251,5,2024-03-15,Transfer,46245.36,Expedita quo ullam magnam reprehenderit aliquid eaque ipsam.
252,5,2021-08-11,Payment,4585.18,Consequuntur delectus eos cumque.
253,5,2022-11-12,Withdrawal,1228.19,Voluptatum ratione quos repudiandae.
254,5,2022-11-16,Transfer,7220.48,Qui dolorum fugiat officiis soluta.
255,5,2021-06-25,Transfer,6291.71,Iste similique tenetur explicabo.
256,5,2021-11-09,Payment,807.33,Aliquid natus ipsum est.
257,5,2023-08-03,Withdrawal,5063.62,Molestiae nesciunt corporis impedit quisquam.
258,5,2022-12-18,Deposit,6545.03,Vero nulla hic nulla.
259,5,2022-04-01,Withdrawal,5442.14,Facere voluptates voluptas fugiat sapiente praesentium dolorem illum.
260,5,2021-10-01,Deposit,4308.92,Accusamus et commodi nihil.
261,5,2021-04-12,Payment,4490.19,Eum minus veniam quas.
262,5,2021-12-04,Payment,1004.82,Fuga iusto commodi delectus provident qui.
263,5,2022-01-18,Payment,3191.11,Ea cumque numquam nulla ad magnam.
264,5,2020-10-07,Withdrawal,2148.22,Cumque sit libero magnam est.
265,5,2021-01-04,Withdrawal,4722.48,Explicabo atque ipsa recusandae consequuntur iste odio.
266,5,2024-11-15,Withdrawal,3302.59,Placeat adipisci in quisquam nam.
267,5,2022-03-11,Deposit,6636.68,Quos architecto error cupiditate minus repellendus deserunt.
268,5,2022-07-27,Deposit,1740.97,Nesciunt dolorum voluptatibus iusto tempore nobis excepturi.
269,5,2023-07-13,Payment,209.78,Repellat et sit dignissimos beatae ab sunt.
270,5,2022-07-14,Transfer,28680.98,Consequatur asperiores molestiae exercitationem praesentium possimus.
271,5,2024-03-26,Withdrawal,8005.5,Eum vero consequatur tenetur ea cupiditate.
272,5,2024-08-06,Payment,1416.42,Sint adipisci asperiores facilis.
273,5,2023-03-29,Payment,3448.57,Delectus ex unde nihil natus.
274,5,2023-10-17,Deposit,6889.93,Consequatur ipsa inventore temporibus.
275,5,2022-07-15,Deposit,8191.58,Quo dicta aperiam sunt optio.
276,5,2024-04-26,Payment,2615.37,Saepe architecto at.
277,5,2023-03-20,Transfer,11771.71,Maiores ducimus voluptatum quae culpa voluptatum sit natus.
278,5,2022-02-02,Deposit,133.62,Vitae eum rem temporibus.
279,5,2020-09-17,Transfer,729.04,Harum corporis ex voluptatibus inventore neque laudantium.
280,5,2024-01-28,Transfer,6484.14,Rerum vel iusto nobis eos.
281,5,2023-07-18,Deposit,947.25,Quos iure voluptate fugiat.
282,5,2021-07-23,Deposit,8688.3,Dolorem dicta libero iure impedit facilis tenetur.
283,5,2021-07-19,Payment,581.56,Debitis iusto quod.
284,5,2024-01-10,Transfer,10047.33,Sequi tempora culpa ipsam.
285,5,2024-01-01,Payment,4203.2,Repellendus eos provident corrupti vitae.
286,5,2024-01-30,Payment,4011.09,Quas quasi laboriosam delectus.
287,5,2023-05-02,Withdrawal,8298.15,Animi in amet aperiam quo blanditiis iure quas.
288,5,2022-03-17,Transfer,32712.34,Velit asperiores quibusdam voluptates aliquid repellendus.
289,5,2023-04-10,Transfer,16104.31,Eum consequatur dignissimos architecto vero nobis facere quasi.
290,5,2021-12-23,Deposit,7181.71,Alias cum quia distinctio nemo nesciunt suscipit dolorum.
291,5,2022-10-14,Withdrawal,7671.49,Dignissimos cum quibusdam ut dolores voluptate.
292,5,2022-01-21,Deposit,4024.89,Minus earum blanditiis odit possimus.
293,5,2021-09-04,Withdrawal,3042.29,Distinctio soluta qui quod odio aperiam totam.
294,5,2024-04-20,Payment,1353.36,Esse a ex aliquid nulla quibusdam rem.
295,5,2023-10-27,Transfer,4125.07,Consequatur vero fugiat nisi corporis quos.
296,5,2023-08-21,Withdrawal,810.99,Nisi quam voluptas cupiditate.
297,5,2021-03-31,Payment,4910.57,Fugiat repellendus placeat eaque dicta et id.
298,5,2024-05-28,Payment,366.35,Odio nemo sapiente ducimus amet quia.
299,5,2021-08-07,Deposit,5648.76,Eum neque delectus nobis sequi.
300,5,2022-02-17,Withdrawal,3708.66,Necessitatibus iure dolorum dolorem distinctio placeat quo quam.
301,5,2022-10-06,Deposit,5473.82,Odio architecto harum occaecati consectetur.
302,5,2024-09-20,Deposit,9843.66,Fuga dolores autem dolores.
303,5,2022-04-05,Transfer,42190.98,Accusantium exercitationem reiciendis nulla incidunt.
304,5,2024-02-20,Deposit,5412.94,Tempora vero quod recusandae eius.
305,5,2023-01-05,Payment,3757.53,Necessitatibus eligendi aut saepe.
306,5,2024-04-03,Withdrawal,106.56,Ab in eius sequi temporibus minima.
307,5,2024-07-15,Deposit,2724.86,Laborum dolore harum placeat unde nobis et.
308,5,2022-09-09,Transfer,29059.4,Voluptatem delectus distinctio explicabo placeat exercitationem.
309,5,2021-05-22,Deposit,4462.35,Debitis commodi consectetur velit sequi at repudiandae quibusdam.
310,5,2021-10-02,Transfer,29666.11,Est magni explicabo quod aspernatur neque.
311,5,2022-12-03,Payment,3009.99,Laborum consequatur odio asperiores itaque explicabo rerum.
312,5,2023-03-28,Payment,2992.23,Error ipsam delectus consectetur explicabo sequi.
313,5,2022-01-29,Transfer,24154.72,Similique doloremque minus similique possimus temporibus.
314,5,2021-02-23,Withdrawal,7217.53,Ab eveniet cupiditate praesentium error.
315,5,2024-04-10,Withdrawal,3773.85,Dignissimos debitis voluptatum harum aperiam ullam.
316,5,2022-03-31,Withdrawal,3759.25,Occaecati non ex voluptas iure enim.
317,5,2022-03-20,Withdrawal,5589.72,Nemo in cum inventore dolores nisi.
318,5,2021-09-25,Payment,2360.58,Distinctio magnam fugit facilis quisquam rerum sunt.
319,5,2022-10-02,Payment,2507.33,Iure repellat repellat voluptatibus.
320,5,2021-11-06,Deposit,5824.62,Ducimus tempore praesentium earum.
321,5,2024-09-05,Withdrawal,7632.53,Voluptatibus voluptatum expedita nostrum unde excepturi.
322,5,2022-05-28,Payment,2779.55,Ex itaque distinctio ullam eveniet omnis.
323,5,2021-07-01,Payment,2648.76,Blanditiis nisi totam incidunt id harum voluptates.
324,5,2021-11-07,Transfer,42428.91,Doloremque ducimus ipsa qui excepturi.
325,5,2021-12-16,Withdrawal,5042.38,Minus fugiat assumenda architecto voluptates voluptates eius.
326,6,2024-02-08,Withdrawal,7178.77,Rem consectetur placeat expedita labore soluta ad.
327,6,2022-12-15,Payment,2536.08,Optio iusto eaque.
328,6,2023-07-14,Withdrawal,1882.27,Totam at numquam nesciunt placeat culpa quo.
329,6,2022-07-03,Deposit,8126.31,Explicabo dolore exercitationem mollitia est quaerat.
330,6,2022-12-10,Deposit,6020.19,Corrupti modi natus.
331,6,2022-07-22,Withdrawal,1762.69,Aut voluptates at doloremque deserunt modi eligendi rerum.
332,6,2023-02-06,Withdrawal,9368.97,Quidem quam officia id aliquam.
333,6,2023-12-22,Transfer,23371.23,Repellat culpa sunt odio et voluptatem.
334,6,2024-06-25,Payment,1738.86,Recusandae quo veniam.
335,6,2024-02-28,Deposit,1606.79,Accusamus quas qui perferendis optio.
336,6,2023-05-29,Withdrawal,5835.99,Laudantium sunt libero consectetur sunt similique nihil.
337,6,2022-06-08,Transfer,19821.53,Doloribus neque quam.
338,6,2024-01-22,Deposit,8173.34,Quia rerum dolore deleniti.
339,6,2024-09-13,Withdrawal,2364.04,Sint fuga incidunt amet unde.
